state	E	joint_hall_gap	h	z	q2	q3
231	6	1	2	4	0,0,1,1,2	2,2,6,6,6,7,7,7
231	7	1	2	4	0,0,1,1,2	5,5,5,5,6,6,6,6
231	8	1	2	4	0,1,1,1,1	2,6,6,6,6,6,6,7
231	9	1	4	4	0,0,1,2,2	3,3,4,7,7,7,7,7
231	10	1	2	4	0,0,1,2,2	5,5,5,5,5,7,7,7
