state	E	gap
122	0	1
122	1	1
122	2	1
122	3	1
122	4	1
122	5	1
122	6	1
122	7	1
122	8	1
122	9	1
122	10	1
122	11	1
122	12	1
122	13	1
122	14	1
122	15	1
122	16	2
122	17	3
122	18	7
122	19	11
122	20	12
122	21	16
122	22	16
122	23	19
122	24	22
122	25	30
122	26	26
122	27	36
122	28	45
122	29	53
122	30	58
122	31	71
122	32	79
122	33	87
122	34	88
