# Hand-classified n=30 Delta=16 m=225 demand frontier: Q>=18
# Derived by the clipping and preimage tables; no historical list used.
0 2 3 3 3 3 3 3 3 3 3 3 3 | Q=18
0 3 3 3 3 3 3 3 3 3 3 3 3 | Q=18
0 3 4 4 4 4 4 4 4 4 4 4 4 | Q=18
0 4 4 4 4 4 4 4 4 4 4 4 4 | Q=18
1 1 2 2 3 3 3 3 3 3 3 3 3 | Q=18
1 1 3 3 3 3 3 3 3 3 3 3 3 | Q=18
1 2 2 2 2 2 2 2 2 2 2 2 2 | Q=18
1 2 2 2 2 2 3 3 3 3 3 3 3 | Q=18
1 2 2 2 3 3 3 3 3 3 3 3 3 | Q=18
1 2 2 3 3 3 3 3 3 3 3 3 3 | Q=18
1 2 2 3 3 3 3 3 3 4 4 4 4 | Q=18
1 2 3 3 3 3 3 3 3 3 3 3 3 | Q=19
1 2 3 3 3 3 3 3 3 4 4 4 4 | Q=18
1 2 3 3 4 4 4 4 4 4 4 4 4 | Q=18
1 2 4 4 4 4 4 4 4 4 4 4 4 | Q=18
1 3 3 3 3 3 3 3 3 3 3 3 3 | Q=19
1 3 3 3 3 3 3 3 3 3 4 4 4 | Q=18
1 3 3 3 3 3 3 3 3 4 4 4 4 | Q=18
1 3 3 3 3 3 3 3 4 4 4 4 4 | Q=18
1 3 3 3 3 3 3 4 4 4 4 4 4 | Q=18
1 3 3 3 4 4 4 4 4 4 4 4 4 | Q=18
1 3 3 4 4 4 4 4 4 4 4 4 4 | Q=18
1 3 4 4 4 4 4 4 4 4 4 4 4 | Q=19
1 4 4 4 4 4 4 4 4 4 4 4 4 | Q=19
2 2 2 2 2 2 2 2 2 2 2 2 2 | Q=18
2 2 2 2 2 2 2 2 2 2 3 3 3 | Q=18
2 2 2 2 2 2 2 2 2 3 3 3 3 | Q=18
2 2 2 2 2 2 2 2 3 3 3 3 3 | Q=18
2 2 2 2 2 2 3 3 3 3 3 3 3 | Q=18
2 2 2 2 2 3 3 3 3 3 3 3 3 | Q=18
2 2 2 2 3 3 3 3 3 3 3 3 3 | Q=19
2 2 2 2 3 3 3 3 3 4 4 4 4 | Q=18
2 2 2 3 3 3 3 3 3 3 3 3 3 | Q=19
2 2 2 3 3 3 3 3 3 3 4 4 4 | Q=18
2 2 2 3 3 3 3 3 3 4 4 4 4 | Q=18
2 2 2 3 4 4 4 4 4 4 4 4 4 | Q=18
2 2 2 4 4 4 4 4 4 4 4 4 4 | Q=18
2 2 3 3 3 3 3 3 3 3 3 3 3 | Q=20
2 2 3 3 3 3 3 3 3 4 4 4 4 | Q=18
2 2 3 3 3 3 3 3 4 4 4 4 4 | Q=18
2 2 3 3 3 3 3 4 4 4 4 4 4 | Q=18
2 2 3 3 3 3 4 4 4 4 4 4 4 | Q=18
2 2 3 3 3 4 4 4 4 4 4 4 4 | Q=18
2 2 3 3 4 4 4 4 4 4 4 4 4 | Q=19
2 2 3 4 4 4 4 4 4 4 4 4 4 | Q=18
2 2 4 4 4 4 4 4 4 4 4 4 4 | Q=19
2 3 3 3 3 3 3 3 3 3 3 3 3 | Q=20
2 3 3 3 3 3 3 3 3 3 4 4 4 | Q=18
2 3 3 3 3 3 3 3 3 4 4 4 4 | Q=19
2 3 3 3 3 3 3 3 4 4 4 4 4 | Q=19
2 3 3 3 3 3 3 4 4 4 4 4 4 | Q=19
2 3 3 3 3 3 4 4 4 4 4 4 4 | Q=18
2 3 3 3 3 4 4 4 4 4 4 4 4 | Q=18
2 3 3 3 4 4 4 4 4 4 4 4 4 | Q=19
2 3 3 4 4 4 4 4 4 4 4 4 4 | Q=19
2 3 3 4 4 4 4 4 5 5 5 5 5 | Q=18
2 3 4 4 4 4 4 4 4 4 4 4 4 | Q=19
2 4 4 4 4 4 4 4 4 4 4 4 4 | Q=19
2 4 4 4 4 4 4 4 5 5 5 5 5 | Q=18
2 4 4 4 4 4 4 5 5 5 5 5 5 | Q=18
2 4 4 4 4 4 5 5 5 5 5 5 5 | Q=18
2 5 5 5 5 5 5 5 5 5 5 5 5 | Q=18
3 3 3 3 3 3 3 3 3 3 3 3 3 | Q=21
3 3 3 3 3 3 3 3 3 3 3 4 4 | Q=18
3 3 3 3 3 3 3 3 3 3 4 4 4 | Q=19
3 3 3 3 3 3 3 3 3 4 4 4 4 | Q=19
3 3 3 3 3 3 3 3 4 4 4 4 4 | Q=19
3 3 3 3 3 3 3 4 4 4 4 4 4 | Q=19
3 3 3 3 3 3 4 4 4 4 4 4 4 | Q=19
3 3 3 3 3 4 4 4 4 4 4 4 4 | Q=19
3 3 3 3 4 4 4 4 4 4 4 4 4 | Q=20
3 3 3 4 4 4 4 4 4 4 4 4 4 | Q=19
3 3 3 4 4 4 4 4 5 5 5 5 5 | Q=18
3 3 3 4 4 4 4 5 5 5 5 5 5 | Q=18
3 3 4 4 4 4 4 4 4 4 4 4 4 | Q=20
3 3 4 4 4 4 4 4 5 5 5 5 5 | Q=18
3 3 4 4 4 4 4 5 5 5 5 5 5 | Q=18
3 3 4 4 4 4 5 5 5 5 5 5 5 | Q=18
