layer	state_id
0	152
0	963
0	1297
0	2172
0	2327
0	2442
0	2504
0	2531
0	2578
0	2579
0	2811
0	2812
0	2858
0	2859
0	4626
0	4627
0	4913
0	4937
0	4944
0	4952
0	4953
0	4954
0	4955
0	5001
0	5010
0	5011
0	5012
0	5039
0	5046
0	5049
0	5050
0	5051
0	5157
0	5166
0	5507
0	5573
0	5580
0	5588
0	5589
0	5590
0	5591
0	5631
0	5644
0	5669
0	5670
0	5671
0	5690
0	5691
0	5700
0	5701
0	5704
0	5705
0	5708
0	5709
0	5790
0	5796
0	5806
0	5807
0	5808
0	5819
0	5910
0	5914
0	5944
0	5945
0	5946
0	6100
0	6101
0	6120
0	6121
0	6122
0	6131
0	6730
0	6778
0	6786
0	6787
0	6788
0	6789
0	6818
0	6825
0	6834
0	6835
0	6836
0	6837
0	6944
0	6950
0	6958
0	6965
0	7028
0	7032
0	7058
0	7184
0	7186
0	7187
0	7547
0	7683
0	7829
0	7833
0	7834
0	7853
0	7854
0	7856
0	8118
0	8255
0	8259
0	8277
0	8667
0	8742
0	8743
0	8747
0	9073
0	9165
0	9200
0	9201
0	9205
0	9206
0	9337
0	9343
0	9344
0	9346
0	9347
0	9349
0	9350
0	9633
0	9634
0	9635
0	9636
0	9694
0	9723
0	9724
0	9728
0	9848
0	9850
0	9854
0	9855
0	9857
0	9858
0	10025
0	10045
0	10046
0	10047
0	10048
0	10064
0	10065
0	10066
0	10071
0	10072
0	10074
0	10076
0	10077
0	10080
0	10219
0	10220
0	10224
0	10270
0	10271
0	10272
0	10295
0	10296
0	10309
0	10503
0	10504
0	10505
0	10506
0	10507
0	10850
0	10858
0	10861
0	10898
0	10926
0	11056
