layer	state_id
0	232
0	978
0	979
0	1312
0	1313
0	1315
0	1316
0	2034
0	2043
0	2044
0	2045
0	2070
0	2139
0	2167
0	2183
0	2184
0	2185
0	2284
0	2285
0	2287
0	2288
0	2331
0	2454
0	2547
0	2548
0	2550
0	2564
0	2571
0	2581
0	2770
0	2771
0	2773
0	2779
0	2839
0	3145
0	3178
0	3179
0	3184
0	3186
0	3344
0	3349
0	4453
0	4618
0	4629
0	4687
0	4888
0	5163
0	5167
0	5216
0	5666
0	5672
0	5694
0	5710
0	5802
0	5834
0	5915
0	5926
0	5932
0	5972
0	5973
0	5993
0	6095
0	6102
0	6103
0	6133
0	6134
0	6135
0	6139
0	6261
0	6262
0	6273
0	6848
0	6952
0	6970
0	7015
0	7072
0	7073
0	7079
0	7188
0	7189
0	7209
0	7219
0	7220
0	7221
0	7225
0	7322
0	7323
0	7327
0	7611
0	7624
0	7664
0	7682
0	7721
0	7722
0	7728
0	7851
0	7855
0	7927
0	7928
0	7932
0	8254
0	8281
0	8353
0	8358
0	8622
0	8671
0	8732
0	9013
0	9014
0	9084
0	9104
0	9105
0	9106
0	9107
0	9169
0	9190
0	9338
0	9339
0	9340
0	9552
0	9571
0	9572
0	9573
0	9714
0	9849
0	9851
0	10043
0	10067
0	10068
0	10210
0	10276
0	10509
0	10510
0	10845
0	11079
1	18
