21,0,3,3,3,3,3,3,3,3,3,3,3,3,3
21,1,2,2,3,3,3,3,3,3,3,3,3,3,3
21,1,2,3,3,3,3,3,3,3,3,3,3,3,3
22,1,3,3,3,3,3,3,3,3,3,3,3,3,3
21,1,3,3,3,3,4,4,4,4,4,4,4,4,4
21,1,3,3,4,4,4,4,4,4,4,4,4,4,4
21,1,3,4,4,4,4,4,4,4,4,4,4,4,4
21,1,4,4,4,4,4,4,4,4,4,4,4,4,4
21,2,2,2,2,2,3,3,3,3,3,3,3,3,3
21,2,2,2,2,3,3,3,3,3,3,3,3,3,3
22,2,2,2,3,3,3,3,3,3,3,3,3,3,3
21,2,2,2,3,3,4,4,4,4,4,4,4,4,4
21,2,2,3,3,3,3,3,3,3,3,3,3,3,3
21,2,2,3,3,3,3,3,3,3,4,4,4,4,4
21,2,2,3,3,3,3,3,3,3,4,4,4,4,4
21,2,2,3,3,3,3,3,3,4,4,4,4,4,4
21,2,2,3,4,4,4,4,4,4,4,4,4,4,4
21,2,2,4,4,4,4,4,4,4,4,4,4,4,4
22,2,3,3,3,3,3,3,3,3,3,3,3,3,3
21,2,3,3,3,3,3,3,3,3,3,3,4,4,4
21,2,3,3,3,3,3,3,3,3,3,4,4,4,4
21,2,3,3,3,3,3,3,3,3,4,4,4,4,4
21,2,3,3,3,3,3,3,3,4,4,4,4,4,4
21,2,3,3,3,3,3,3,4,4,4,4,4,4,4
21,2,3,3,3,3,4,4,4,4,4,4,4,4,4
21,2,3,3,3,4,4,4,4,4,4,4,4,4,4
22,2,3,3,4,4,4,4,4,4,4,4,4,4,4
22,2,3,4,4,4,4,4,4,4,4,4,4,4,4
21,2,3,4,4,4,4,4,4,4,5,5,5,5,5
22,2,4,4,4,4,4,4,4,4,4,4,4,4,4
21,2,4,5,5,5,5,5,5,5,5,5,5,5,5
21,2,5,5,5,5,5,5,5,5,5,5,5,5,5
23,3,3,3,3,3,3,3,3,3,3,3,3,3,3
21,3,3,3,3,3,3,3,3,3,3,3,4,4,4
22,3,3,3,3,3,3,3,3,3,3,4,4,4,4
22,3,3,3,3,3,3,3,3,3,4,4,4,4,4
22,3,3,3,3,3,3,3,3,4,4,4,4,4,4
21,3,3,3,3,3,3,3,4,4,4,4,4,4,4
21,3,3,3,3,3,3,4,4,4,4,4,4,4,4
22,3,3,3,3,3,4,4,4,4,4,4,4,4,4
21,3,3,3,3,4,4,4,4,4,4,4,4,4,4
21,3,3,3,3,4,4,4,4,4,5,5,5,5,5
21,3,3,3,3,4,4,4,4,5,5,5,5,5,5
22,3,3,3,4,4,4,4,4,4,4,4,4,4,4
21,3,3,3,4,4,4,4,4,4,5,5,5,5,5
22,3,3,4,4,4,4,4,4,4,4,4,4,4,4
21,3,3,4,4,4,4,4,4,4,4,5,5,5,5
21,3,3,4,4,4,4,4,4,4,5,5,5,5,5
21,3,3,4,4,4,4,4,4,5,5,5,5,5,5
21,3,3,4,4,4,4,4,5,5,5,5,5,5,5
21,3,3,5,5,5,5,5,5,5,5,5,5,5,5
23,3,4,4,4,4,4,4,4,4,4,4,4,4,4
21,3,4,4,4,4,4,4,4,4,4,4,5,5,5
21,3,4,4,4,4,4,4,4,4,5,5,5,5,5
21,3,4,4,4,4,4,4,4,5,5,5,5,5,5
21,3,4,4,4,5,5,5,5,5,5,5,5,5,5
21,3,4,4,5,5,5,5,5,5,5,5,5,5,5
22,3,4,5,5,5,5,5,5,5,5,5,5,5,5
22,3,5,5,5,5,5,5,5,5,5,5,5,5,5
23,4,4,4,4,4,4,4,4,4,4,4,4,4,4
21,4,4,4,4,4,4,4,4,4,4,5,5,5,5
22,4,4,4,4,4,4,4,4,4,5,5,5,5,5
21,4,4,4,4,4,4,4,4,5,5,5,5,5,5
21,4,4,4,4,4,4,4,5,5,5,5,5,5,5
21,4,4,4,4,4,4,5,5,5,5,5,5,5,5
21,4,4,4,4,4,5,5,5,5,5,5,5,5,5
21,4,4,4,4,5,5,5,5,5,5,5,5,5,5
21,4,4,4,5,5,5,5,5,5,5,5,5,5,5
22,4,4,5,5,5,5,5,5,5,5,5,5,5,5
22,4,5,5,5,5,5,5,5,5,5,5,5,5,5
22,5,5,5,5,5,5,5,5,5,5,5,5,5,5
