state_id	E	q	min_target_cost	excess_envelope	status
2812	6	0,0,0,0,0,2,2,3,2,4,5,5,6,6,6,6,6,6	74	60	COST_EXCLUDED
2812	6	0,0,0,0,2,2,3,2,5,5,5,5,6,6,6,6,6	74	60	COST_EXCLUDED
2812	6	0,0,0,0,2,3,3,2,2,5,6,6,6,6,6,6,6	75	60	COST_EXCLUDED
